,BXM Level (Volatility),Credit Spread Investment Grade,HML,Last_Price (High Yield Credit Spread),Liquidity,Mkt-RF,Momentum,SMB,date,index
565,-7.633864527178198e-05,9.472165012297388e-05,-0.012319430192297587,-0.004871398671720241,-0.04738002399324959,0.00442260228422478,-0.007950259850584507,-0.004533721029728557,2011-05,IYR
566,-7.858242739251027e-06,-7.239055302402553e-06,-0.001884327924401616,-0.00032727714981784645,0.003610284051917878,-0.0003990319628121991,0.0002016461316415724,-0.0006227363693915369,2011-05,FOF_Fund of Fund
567,9.853536267718913e-06,-2.777855454615054e-06,-0.00017808868772023478,-0.0005934939419838005,0.0359573281618677,-0.0002993649339844001,-0.0011683710055503602,0.0014430372578004124,2011-05,PE
568,-6.05128136550088e-05,4.9547055249962515e-05,-0.0027591291059845813,-0.003161894944397883,-0.023622371392339137,0.0001597208466250985,-0.0029781171884096513,-0.001636075010110774,2011-06,Equity_russel_3000
569,-6.976014292432546e-05,2.487569877313115e-05,-0.0035111952344689945,-0.002753880330777848,-0.018814650400623828,0.00030948494453027914,-0.0028377204527674157,-0.0013777981943619635,2011-06,Equity_global_MSCI_ACWI
570,-3.380913965600127e-06,-2.2107943368400456e-05,-0.00039428094130292135,0.00037950915015523036,0.0009385509461089514,0.00011821601842718077,-0.0011461241199799618,0.00034438567359475203,2011-06,Bond_US_Barclay_ETF
571,8.580651653577673e-07,-1.6720255958829533e-05,-0.0015205863889543314,0.000271713764407629,0.01352453784516483,6.364447537326318e-05,-0.0014401256724450029,-0.00023656403110580704,2011-06,Bond_US_Barclay_TIPS
572,-5.447031329391667e-05,2.7761320976673687e-05,-0.006212825513998627,-0.0016883164171679777,0.03948813188223543,0.0007481898303548368,-0.00353262636700534,-0.0012316671040300403,2011-06,Bond_US_HighYield_bond_Index
573,-8.976621585609279e-05,8.852064035979431e-05,-0.011580780828254644,-0.005010840255553156,-0.044714379859892045,0.0044315786313134445,-0.00774998404235646,-0.00440615536769879,2011-06,IYR
574,-1.5365278303308173e-05,-9.924399130256862e-06,-0.001508057923410494,-0.0004248800823485003,0.004785112422234283,-0.00034827225819179797,0.0003401117028776976,-0.0005278034359953859,2011-06,FOF_Fund of Fund
