Date,Equity_russel_3000,Equity_global_MSCI_ACWI,Bond_US_Barclay_ETF,Bond_US_Barclay_TIPS,Bond_US_HighYield_bond_Index,IYR,FOF_Fund of Fund,PE
2002-07,-0.080575458,-0.084856816,0.01206648,0.016560241,-0.039790671,-0.047133023,-0.013393541,-0.04963628
2002-08,0.003011098,0.000600811,0.016884085,0.035756195,0.02500545,0.003610538,0.003309688,-0.08715007
2002-09,-0.10642596,-0.111183388,0.016195609,0.025258247,-0.016033212,-0.049342536,-0.004456634,-0.00038361
2002-10,0.078039586,0.072397681,-0.004554873,-0.026716069,-0.008427813,-0.0404351,-0.002012859,-0.09576983
2002-11,0.058580322,0.053073652,-0.000265923,-0.000667869,0.059902744,0.048406499,0.008382261,-0.07459074
2002-12,-0.058147872,-0.04885344,0.020655813,0.033616253,0.014960379,0.005818507,0.006790029,-0.00322169
2003-01,-0.025700191,-0.03024109,0.000853725,0.007500323,0.028784141,-0.036869402,0.008420011,-0.00649843
2003-02,-0.018368266,-0.019023942,0.013836512,0.037479143,0.012857784,0.019341839,0.003409952,-1.84E-05
2003-03,0.009056971,-0.007217233,-0.000770505,-0.016206854,0.025903335,0.019411695,-0.00030996,-0.05291595
2003-04,0.080314932,0.086293008,0.008251644,-0.002577968,0.056194398,0.036007885,0.012150002,0.00429237
2003-05,0.058569915,0.055121328,0.018645006,0.047405913,0.010807966,0.062208691,0.020809957,0.01349271
2003-06,0.012069193,0.017139537,-0.001984846,-0.010171532,0.027261103,0.017470933,0.006670005,-0.00400661
2003-07,0.021545945,0.0208492,-0.033619258,-0.04615104,-0.014275956,0.054964551,0.002260006,0.00223074
2003-08,0.02059013,0.021635736,0.006639227,0.017912922,0.013079962,0.008403357,0.008340021,0.00325086
2003-09,-0.012210136,0.004792332,0.026470641,0.033066132,0.026710869,0.029485263,0.011769983,-0.01447092
2003-10,0.058999096,0.059459459,-0.00932629,0.005455868,0.020425365,0.01739412,0.015339995,0.01768754
2003-11,0.012175402,0.013634025,0.002395042,0.000602918,0.013762648,0.04344089,0.006210044,0.00912791
2003-12,0.044056778,0.062219778,0.010176409,0.010183177,0.023154401,0.038861542,0.015459979,-0.01872372
2004-01,0.019805405,0.016206746,0.008045302,0.011452431,0.015551992,0.040697094,0.015860023,0.00177062
2004-02,0.011873462,0.016888715,0.010824142,0.023117297,-0.000352874,0.018004091,0.01095999,0.00087247
2004-03,-0.013164366,-0.008015105,0.007488987,0.016023978,0.007034328,0.054004664,0.004509989,0.01719009
2004-04,-0.021770931,-0.025249582,-0.026016616,-0.048561865,-0.007217383,-0.149383259,-0.008780008,0.0024699
2004-05,0.012951848,0.005379986,-0.004005871,0.018007274,-0.0159641,0.068098867,-0.008729991,0.00447493
2004-06,0.018400778,0.018273347,0.005651578,0.000468576,0.014600779,0.029052241,0.002420012,0.01099036
2004-07,-0.038931899,-0.032854529,0.009912255,0.009308588,0.013668259,0.002672512,-0.00575004,-0.00200399
2004-08,0.002458451,0.004266452,0.019075174,0.026798144,0.018084962,0.082428405,-0.000139974,-0.00054689
2004-09,0.01389742,0.019478177,0.0027135,0.001977178,0.013935649,-0.004066979,0.008870027,-0.03979765
2004-10,0.015208756,0.023627,0.008385744,0.00997914,0.018985541,0.051407958,0.007819952,9.25E-05
2004-11,0.044678038,0.052961057,-0.00797641,-0.002400357,0.010123116,0.042463208,0.025469983,0.21943196
2004-12,0.033972299,0.037750301,0.009201122,0.017458452,0.014872533,0.052075947,0.014640076,0.47254866
2005-01,-0.027521916,-0.021861381,0.006279474,5.50E-05,-0.000837879,-0.085227285,-4.00E-05,-0.0042259
2005-02,0.020028479,0.033021919,-0.005903197,-0.004234492,0.014084293,0.033362937,0.013590013,0.08200528
2005-03,-0.018312588,-0.024279105,-0.005136009,0.000883636,-0.027227436,-0.025393626,-0.005510039,0.12172619
2005-04,-0.022844018,-0.024277209,0.01353396,0.019091762,-0.010363683,0.056238907,-0.014140014,0.00274742
2005-05,0.03613523,0.015966387,0.010818747,0.006876387,0.01835047,0.037465152,0.002370037,0.00285859
2005-06,0.005468861,0.008523034,0.005452908,0.004248225,0.018994143,0.044896943,0.013610048,-0.03145153
2005-07,0.039862765,0.036121809,-0.009103455,-0.020990629,0.015577575,0.066037812,0.017369998,-0.00286138
2005-08,-0.011440229,0.005609664,0.012819573,0.023081551,0.003640976,-0.042920402,0.008399908,0.00515278
2005-09,0.007597186,0.028747433,-0.010301154,-0.001390003,-0.01002427,0.000884702,0.015450001,0.01656312
2005-10,-0.019755418,-0.02754491,-0.007913938,-0.012795118,-0.00710564,-0.030651888,-0.014449979,0.0053162
2005-11,0.036496948,0.034585386,0.004422604,0.001735358,0.004731001,0.047351532,0.016830009,0.00028504
2005-12,-0.000428398,0.023807162,0.009507502,0.01228887,0.009239684,-0.003789403,0.019800045,0.03886237
2006-01,0.032434256,0.048541808,5.65E-05,-0.000106958,0.015899395,0.072954012,0.02877001,-0.0024214
2006-02,-0.000267837,-0.002833734,0.003319522,-0.000427876,0.00637537,0.017724847,0.003509992,-0.0010974
2006-03,0.015912781,0.018687836,-0.009812919,-0.021938038,0.006028557,0.055726458,0.017029975,0.01666986
2006-04,0.009703983,0.031535219,-0.001812934,-0.000875321,0.005944063,-0.032653097,0.017640019,0.00585266
2006-05,-0.033990114,-0.042476263,-0.001066932,0.002956798,-0.000761522,-0.033052005,-0.019070066,0.00278253
2006-06,0.000486612,-0.001934058,0.002119836,0.002838893,-0.003663551,0.045972794,-0.006019942,0.04149267
2006-07,-0.001959106,0.005936452,0.013521979,0.016277424,0.010666889,0.036491209,-0.002080002,0.00321365
2006-08,0.022201499,0.023758562,0.015308293,0.017302336,0.016267996,0.029790173,0.007760029,-0.00397177
2006-09,0.021163013,0.010364087,0.008783997,0.001632352,0.012985511,0.023811121,-0.000340064,-0.01545474
2006-10,0.034990313,0.036862954,0.006614887,-0.001682263,0.014444953,0.064808812,0.016900021,0.00087517
2006-11,0.019447427,0.026486101,0.011601199,0.012374934,0.015787606,0.046256789,0.018580024,0.0010576
2006-12,0.010521526,0.021497611,-0.005803348,-0.023355007,0.010887841,-0.01748686,0.017619964,0.03134312
2007-01,0.01803853,0.009299037,-0.000410309,0.001331487,0.010470687,0.096580727,0.012980773,0.00762658
2007-02,-0.018459677,-0.006519397,0.015420003,0.021328653,0.013863926,-0.035776861,0.008171756,0.00159849
2007-03,0.009178194,0.017679918,3.05E-05,0.002395584,0.00221009,-0.025272287,0.010126412,0.04676776
2007-04,0.038996463,0.042206235,0.005392295,0.007065669,0.013228953,0.00293288,0.016904632,0.00350581
2007-05,0.034328643,0.026537813,-0.007578516,-0.013052002,0.007036335,0.001520709,0.020987088,0.00972803
2007-06,-0.01993379,-0.004308627,-0.002958241,-0.001515864,-0.016886237,-0.087104406,0.006793647,0.03571993
2007-07,-0.03355511,-0.01613347,0.008341383,0.022720134,-0.031187185,-0.090674209,0.003346336,0.00369645
2007-08,0.010771504,-0.00470331,0.012256505,0.008701884,0.01100758,0.052556774,-0.021766465,-0.00401422
2007-09,0.034948063,0.052185241,0.007586342,0.013346189,0.02447949,0.041223693,0.021563624,0.0483035
2007-10,0.017308793,0.038138473,0.008982884,0.011217387,0.006001317,0.007584692,0.030661697,0.00237759
2007-11,-0.04701196,-0.045670322,0.01798314,0.039667211,-0.020256112,-0.091239535,-0.015028301,0.00298025
